conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
a,16,m,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,torhailoch,15-,first child,3,meserete edget,eth-lang,yes,8,authoritative,0,none,4.5,91.67,97.18,,,94.27,97.16,,,,,89.5,,97.9,85.77,92.2,88.27,96.27,95.33,83.4,93.05,88.76,92.6,highschool
a,15,m,ethiopian,ethiopia,yes,9,paid,both,a lot,agree,agree,agree,private,total,15-,first child,3,flipper,eth-lang,yes,7,authoritarian,0,none,3.75,81.67,97.22,,,91.96,86.84,,,,,89.5,,84.96,78.69,88.4,99.5,88.61,93.33,85.83,86.29,84.73,85.8,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,lebu,60+,middle child,2,abay,eth-lang,no,8,authoritative,0,none,4.5,89,93.29,,,93.5,91.44,,,,,94.43,,91.67,88.54,91.6,94.8,93.99,93.93,83.7,89.43,93.5,90.2,highschool
c,17,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,agree,strongly agree,private,gulele,15-30,middle child,2,gibson,eth-lang,no,8,permissive,0,none,4.25,93.67,72.43,,,93.5,63.64,,,,,89.43,,80.83,77.41,80,79.63,72.15,70.21,76.06,85.71,85.81,77.5,highschool
a,16,f,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,russia camp,15-,first child,1,flipper,eth-lang,yes,7,authoritative,0,none,4.5,99.67,90.57,,,88.5,79.73,,,,,91.93,,85.17,85.44,89.8,98.33,94.81,87.9,83.51,90.43,91.7,88.3,highschool
b,15,m,ethiopian,ethiopia,no,10,paid,both,not much,agree,strongly agree,somehow agree,service,bethel,15-30,first child,0,mount olive academy,eth-lang,no,6,permissive,0,none,3.25,91,89.57,,,82,70.53,,,,,94.43,,78.33,83.9,82.1,85.5,74.62,72.88,73.47,79.07,91.86,78,highschool
a,15,f,ethiopian,ethiopia,no,10,paid,both,a lot,somehow agree,somehow agree,somehow agree,private,torhailoch,15-,middle child,1,intellectual,eth-lang,yes,9,authoritative,0,none,3,89.67,46.43,,,70.59,70.7,,,,,86.93,,77,82.56,75.7,84.5,75.86,67.77,72.79,72.33,87.21,76.1,highschool
a,15,f,american,ethiopia,yes,10,paid,both,little,somehow agree,agree,agree,private,german square,15-30,first child,1,intellectual,eth-lang,yes,7,authoritative,0,none,3.25,95.33,88.07,,,87.5,63.39,,,,,86.18,,80.17,84.6,85,92.53,87.61,82,75.58,87.42,94.2,82,highschool
a,16,f,ethiopian,ethiopia,no,10,paid,both,a lot,agree,agree,agree,private,torhailoch,15-,first child,3,school of nations,eth-lang,yes,8,authoritative,0,none,3.75,95.67,83.07,,,84,87.39,,,,,89.68,,85.83,87.31,86.7,92.4,87.77,85.65,75.55,83.9,88.3,86.1,highschool
a,15,m,ethiopian,ethiopia,yes,10,paid,both,a lot,strongly agree,strongly disagree,strongly disagree,private,saris,30-60,first child,0,rice,eth-lang,yes,8,authoritative,0,none,2.5,96,77.57,,,81,80.5,,,,,93.43,,70,88.66,83.6,97.63,76.32,77.01,77.43,81.86,89.2,81,highschool
a,15,f,ethiopian,ethiopia,no,10,paid,both,a lot,agree,somehow agree,disagree,private,sarbet,15-30,first child,2,intellectual,eth-lang,no,7,authoritarian,0,none,3,96.67,87.57,,,81.3,84.86,,,,,94.43,,94,85.83,87.7,94.6,91.67,76.69,77.43,84.09,90.89,86.4,highschool
b,16,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,agree,strongly agree,strongly agree,service,kality,60+,last child,2,akaki mh,eth-lang,no,8,authoritative,0,none,4.25,97,93.29,,,92.25,99.25,,,,,94.43,,98.67,96.09,94.5,93.3,95.54,89.13,91.14,91.43,97.11,94.8,highschool
a,16,f,ethiopian,ethiopia,no,10,paid,both,little,agree,strongly agree,somehow agree,private,bethel,15-,first child,0,hilltops,eth-lang,no,7,authoritative,1,emotional,3.5,98.67,96.64,,,92,98.51,,,,,93.43,,94.83,96.63,94,100,99,83.96,83.76,92.24,91.96,93.5,highschool
a,16,m,ethiopian,ethiopia,no,10,paid,both,a lot,agree,strongly agree,agree,private,bole bulbula,30-60,middle child,3,gibson,eth-lang,no,6.5,authoritative,0,none,4,98.67,92.29,,,94.5,98.88,,,,,93.93,,96.5,99.54,96.3,100,98.87,98.21,91.38,94.57,94.51,97.1,highschool
a,16,f,ethiopian,ethiopia,no,10,paid,both,little,agree,agree,strongly agree,private,sarbet,15-,first child,2,hilltops,eth-lang,yes,8,permissive,1,none,3.75,96.67,87.07,,,91,81.29,,,,,90.18,,89,87.67,88.4,93.3,86.72,83.8,82.48,90.5,89.51,87.3,highschool
a,15,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,strongly agree,public,weyra,15-30,middle child,3,spring of knowledge,eth-lang,no,8,authoritative,0,none,4.5,96.33,91.93,,,90.69,84.55,,,,,93.93,,92.5,92.5,91.2,94.3,93.38,83.74,85.47,92.29,93.66,90.1,highschool
a,16,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,agree,public,jemo,60+,middle child,1,jemo 2,eth-lang,no,7,authoritative,0,none,4.25,95,94.43,,,81.5,85.84,,,,,91.43,,94.67,86.77,89.5,89.5,91.52,85.53,87.53,91.43,88.51,89.8,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,mother,a lot,agree,agree,strongly agree,public,saris,60+,middle child,1,kotari,eth-lang,no,8,authoritative,1,emotional,4,94.67,96.29,,,94.5,99.25,,,,,91.43,,98,94,93.4,93.8,96.61,87.94,88.27,83.95,96.06,92.8,highschool
a,15,f,ethiopian,ethiopia,no,10,paid,both,a lot,agree,somehow agree,somehow agree,private,alemgena,60+,first child,1,school of nations,for-lang,yes,5,authoritative,0,none,3.25,96,95.93,,,90.5,86.75,,,,,93.18,,95.83,93.83,92.2,96.14,93.93,87.18,87.36,88.76,93.2,91.2,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,karakore,15-30,last child,1,jemo 2,eth-lang,yes,7,authoritative,0,none,4.5,95.33,96.29,,,95,94.76,,,,,90.18,,95.5,89.89,92.4,92.9,95.46,85.59,89.29,89.66,91.36,91.9,highschool
a,17,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,jemo,30-60,first child,3,abay,eth-lang,no,8,authoritative,1,none,4.5,93.67,96.64,,,97.15,98.13,,,,,94.38,,95.22,98.31,94.4,83.1,94.71,93.97,92.79,91.29,98.06,94.8,highschool
a,16,m,ethiopian,ethiopia,yes,10,paid,both,a lot,strongly agree,agree,somehow agree,private,jemo,15-30,first child,3,intellectual,eth-lang,yes,8,authoritative,0,none,3.75,93.67,86.21,,,79.15,71.46,,,,,90.13,,81.24,84.12,83.8,87.1,78.54,76.38,81.55,87.57,91.86,81.8,highschool
a,16,m,ethiopian,ethiopia,no,10,paid,both,little,somehow agree,agree,agree,private,german square,30-60,last child,3,abune gorgorios,eth-lang,no,8,authoritative,0,none,3.25,94.67,91.43,,,90.69,82.63,,,,,91.43,,90.62,84.91,87.4,92.7,81.46,78,79.75,85.14,92.31,84.6,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,agree,strongly agree,strongly agree,service,jemo,60+,first child,1,abay,for-lang,no,7,authoritative,0,none,4.25,93,97.64,,,97.62,100,,,,,93.13,,96.88,95.26,95.3,93.1,97.54,94.32,88.97,92.29,99.2,94.8,highschool
a,15,f,ethiopian,ethiopia,no,10,paid,both,little,agree,strongly agree,somehow agree,private,addisu gebeya,15-30,middle child,0,gibson,eth-lang,no,7.5,authoritative,1,physcological,3.5,83.33,97.64,,,95.72,98.13,,,,,94.18,,95.73,99.94,94.8,96.3,100,96.82,90.7,89.4,95.11,94.3,highschool
a,15,f,ethiopian,ethiopia,yes,10,paid,other,a lot,agree,strongly agree,agree,private,jemo,30-60,first child,2,swedish,for-lang,yes,8,authoritative,0,none,4,82.33,33.43,,,92.08,75.31,,,,,91.63,,88.27,86.3,80.2,90.5,80.17,75.88,72.19,86.57,87.8,80.9,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,both,little,somehow agree,somehow agree,somehow agree,service,kazanchis,15-30,last child,2,kebena adventist,eth-lang,no,6.5,authoritarian,0,none,2.75,97.33,97.29,,,97.57,84.84,,,,,92.13,,91.17,88.73,91.9,96.3,88.77,86,87,92.12,95.71,89.5,highschool
a,17,m,ethiopian,ethiopia,no,10,scholarship,mother,a lot,strongly agree,agree,strongly agree,service,lafto,60+,middle child,2,nsl,eth-lang,no,8,authoritative,0,none,4.25,96.67,90.21,,,95.77,67.86,,,,,91.93,,78.06,76.01,87.2,97.6,88.24,83.97,81.51,92.5,93.26,83.1,highschool
a,15,f,ethiopian,ethiopia,no,10,scholarship,both,little,strongly agree,strongly agree,strongly agree,public,arabsa,60+,middle child,3,addis sefer,eth-lang,no,6,authoritative,1,physcological,4.25,96,98.14,,,97.62,100,,,,,94.8,,100,99.06,97.4,94.4,100,99.5,97.8,90.29,98.7,97.8,highschool
a,15,m,ethiopian,ethiopia,no,10,paid,both,a lot,somehow agree,agree,agree,private,sarbet,15-,last child,3,gibson,eth-lang,no,7,authoritative,0,none,3.5,81,92.07,,,80.3,60.37,,,,,86.43,,69.98,70.69,75.7,70.9,67.94,71.56,77.11,72.45,83.5,71.4,highschool
a,16,f,ethiopian,ethiopia,no,10,scholarship,both,a lot,agree,somehow agree,strongly agree,public,arabsa,60+,first child,1,tuludimtu,eth-lang,no,6,authoritarian,0,psycological,3.75,98.33,83.71,,,94.34,76.41,,,,,92.43,,83.72,80.43,88.2,95.8,83.8,84.47,89.75,89.4,94.26,85.8,highschool
a,15,m,ethiopian,ethiopia,no,10,paid,mother,not much,agree,strongly agree,somehow agree,private,shola,30-60,middle child,0,radical,eth-lang,yes,8,authoritative,0,none,3.25,92,95.79,,,95.31,98.88,,,,,90.68,,95.42,98.74,93.2,85.9,93.69,90.62,93.18,88.71,92.1,93.9,highschool
a,15,f,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,furi,30-60,middle child,1,jemo 2,eth-lang,no,6,authoritative,0,none,4.5,91,96.29,,,93.92,76.48,,,,,88.93,,85.03,83.3,86.2,91.63,74.89,78.29,84.61,85,90.91,82.3,highschool
a,16,f,ethiopian,ethiopia,no,10,scholarship,mother,a lot,strongly agree,strongly agree,strongly agree,public,furi,60+,last child,2,jemo 2,eth-lang,no,5,authoritative,0,none,4.5,98.67,98.5,,,96.69,100,,,,,95.43,,98.2,97.71,97,96.8,97.11,97.88,97.65,93,93.9,97.5,highschool
a,16,m,ethiopian,ethiopia,no,10,paid,both,a lot,agree,somehow agree,agree,private,fm jerba,15-30,middle child,2,reach,eth-lang,yes,8,authoritative,1,none,3.5,97.67,87.57,,,81.46,81.43,,,,,94.93,,87.85,86.57,88.3,92.3,90.09,81.76,86.31,87.57,91.76,87.4,highschool
b,16,f,american,ethiopia,yes,10,paid,both,not much,agree,agree,somehow agree,service,cmc,30-60,last child,2,kelem,for-lang,yes,6.5,authoritative,0,none,3,98.33,47.43,,,72.83,68.23,,,,,90.93,,73.78,78.52,80.3,95.43,85.89,86.18,86.76,73.54,86.43,81.4,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,agree,public,sefera,60+,first child,2,abay,eth-lang,no,7,authoritarian,0,none,4.25,97,95.29,,,97.62,97.13,,,,,92.43,,95.08,98.66,94.8,93.33,96.16,94.09,89.26,90.57,95.5,94.7,highschool
b,15,f,ethiopian,ethiopia,yes,10,paid,both,a lot,strongly agree,strongly agree,agree,private,haile garment,30-60,last child,3,rice,eth-lang,yes,6,authoritative,0,none,4.25,98,68.57,,,82.71,71.37,,,,,77.4,,84.17,70.23,82.2,96.8,81.69,79.76,80.55,84.64,93.16,81.3,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,both,little,strongly agree,agree,strongly agree,public,jemo,30-60,middle child,3,jemo 2,eth-lang,no,6,authoritative,1,physical,4,97.33,95.79,,,96.23,97.78,,,,,93.93,,96.16,98.94,95.7,98,97.72,88.15,93.54,92.29,98.26,95.2,highschool
c,16,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,gulele,15-30,first child,0,gibson,eth-lang,yes,10,authoritative,0,none,4.5,89.67,97.14,,,90.23,91.82,,,,,95.43,,89.23,88.36,91.1,89,93.38,83.82,87.68,89.43,98.7,89.2,highschool
a,13,m,ethiopian,ethiopia,no,10,scholarship,other,a lot,agree,strongly agree,somehow agree,service,ayat,60+,last child,2,fentaw dinku,eth-lang,no,7.5,authoritative,0,none,3.75,94,85.21,,,87,67.06,,,,,87.18,,75.17,70.36,83.5,92.4,80.24,79.5,87.42,91.14,88.46,80.6,highschool
a,16,f,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,agree,somehow agree,public,hayat,30-60,middle child,0,nazreth,eth-lang,yes,8,authoritative,0,none,3.75,95,94.93,,,85.62,77.07,,,,,94.93,,81.18,80.4,87.4,94.4,84.3,83.47,85.05,90.43,89.1,84.6,highschool
a,17,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,somehow agree,agree,somehow agree,public,jemo,60+,first child,3,abay,eth-lang,no,6,authoritarian,0,none,3.25,98.33,98.14,,,98.54,99.63,,,,,90.18,,97,101.6,97.6,98,99.37,96.59,98.58,93.86,99.06,98.1,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,mother,a lot,agree,disagree,strongly disagree,private,kolfe,15-,first child,3,st theresa,for-lang,yes,5.5,authoritarian,0,none,2.5,91.3537426900585,88.43,,,87,94.5,,,,,91.68,,85.3,92.7,89.5,95.4,92.3,87.9,78.2,92.14,89,89,highschool
a,16,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,sefera,60+,first child,2,abay,eth-lang,no,5.5,authoritative,0,none,4.5,90.67,96.29,,,94.85,92.9,,,,,90.43,,85.3,93.23,89.6,84.7,91.66,82.3,84.93,90.57,86.36,88.9,highschool
b,16,f,ethiopian,ethiopia,no,10,scholarship,mother,not much,somehow agree,agree,strongly disagree,service,gelan,30-60,first child,0,embutoch,eth-lang,no,8,authoritarian,0,emopsy,2.25,85.67,87.07,,,83.5,60.01,,,,,84.18,,70.8,72.45,75.4,70.67,71.54,68.04,66.5,72.69,87.5,71,highschool
a,16,f,yemeni,ethiopia,no,11,paid,mother,a lot,somehow agree,somehow agree,somehow agree,private,alemgena,60+,last child,0,school of nations,for-lang,yes,6,authoritative,0,none,3,94.92,0,,,87.4,66.96,,,,,90.43,,,,77.8,90.18,,76.11,87.45,88.86,96,82.9,highschool
a,19,f,ethiopian,ethiopia,no,11,paid,both,little,somehow agree,somehow agree,somehow agree,private,torhailoch,15-30,middle child,0,mekanisa abadir,eth-lang,yes,6.5,authoritative,0,none,2.75,91.17,88.61,,,86.8,78.44,,,,,93.57,,,,85.6,74.92,,78.72,92.2,74.57,96.57,83,highschool
a,17,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly disagree,agree,private,lebu,30-60,middle child,0,intellectual,eth-lang,no,10,authoritative,0,none,3.25,92.08,85.93,,,91.8,66.33,,,,,93.29,,,,89.5,98.87,,83.94,96.36,95.43,90.5,86.8,highschool
b,16,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,agree,strongly agree,public,gotera,15-30,first child,3,rice,eth-lang,yes,9,authoritative,0,none,4.25,73.44,84.61,,,86.6,63.67,,,,,81.86,,,,81.2,92.85,,78.89,78.26,90.29,81.36,76.9,highschool
a,17,f,ethiopian,ethiopia,no,11,paid,both,little,agree,agree,agree,service,megenagna,30-60,first child,3,mount olive,eth-lang,no,8,authoritative,0,none,3.5,92.69,90.93,,,90.9,61.21,,,,,94.43,,,,87.2,94.33,,75.83,92.3,83.36,95.93,81.1,highschool
a,15,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,disagree,agree,private,sarbet,15-,middle child,3,school of tomorrow,eth-lang,yes,8,authoritative,0,none,3.25,97.17,86.79,,,85.95,74.22,,,,,91.14,,,,90.4,94.82,,95.17,97.13,84.32,96.79,89.6,highschool
a,16,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,agree,strongly agree,private,bole,15-30,middle child,3,andinet,eth-lang,yes,8,authoritative,0,none,4,85.26,83.29,,,82,77.46,,,,,92.14,,,,88.1,86.21,,93.17,97.45,91.71,92.57,89,highschool
a,16,f,ethiopian,ethiopia,no,11,scholarship,mother,a lot,strongly agree,somehow agree,disagree,service,gerji,60+,last child,1,safari,eth-lang,no,5,authoritative,0,none,3.25,94.19,93.5,,,92.6,88.9,,,,,93.71,,,,94.2,97.97,,94.89,94.66,95.71,95.79,93.7,highschool
a,17,m,ethiopian,ethiopia,no,11,paid,both,a lot,agree,agree,agree,private,musena,15-,last child,3,school of nations,eth-lang,no,6,authoritative,0,none,3.75,94.92,88.79,,,97.6,74.34,,,,,93.86,,,,92.7,97.41,,95.72,96.46,95.43,92.32,91.4,highschool
a,17,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,agree,strongly agree,private,musena,15-,middle child,3,gss,eth-lang,yes,7.5,authoritative,0,none,4,83.76,83.86,,,84.8,67.46,,,,,94.29,,,,81.8,75.89,,73.72,86.21,82,85.57,78.6,highschool
a,17,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,lebu,60+,first child,1,stanford,eth-lang,no,5,authoritative,0,none,4.5,90.44,96,,,91.6,70.34,,,,,89,,,,91,93.81,,98.22,94.84,93.86,92,89.5,highschool
a,16,f,ethiopian,ethiopia,no,11,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,middle child,0,gibson,eth-lang,no,8,authoritative,0,none,4.5,94.92,89.68,,,89.6,63.57,,,,,90.29,,,,87.6,95.03,,78.61,91.78,84.57,98.36,82.7,highschool
b,17,m,american,ethiopia,yes,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,paulos,15-30,middle child,2,greek school,for-lang,yes,8,authoritative,0,none,4.5,94.17,4,,,91.2,69.58,,,,,96.14,,,,81.1,93.44,,90.11,95.37,86,91.29,87,highschool
a,17,f,ethiopian,ethiopia,yes,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,jemo,30-60,first child,0,gibson,eth-lang,yes,6.5,authoritarian,1,none,4.5,95.67,90.04,,,93.2,79.28,,,,,86.71,,,,89.1,94.25,,79.17,89.67,88.86,94.64,86.5,highschool
a,16,f,ethiopian,ethiopia,no,11,paid,mother,a lot,somehow agree,strongly disagree,strongly disagree,service,jemo,30-60,last child,0,mark,eth-lang,yes,8.5,authoritarian,1,none,2,90.44,87.61,,,88,81.4,,,,,91.43,,,,89,91.04,,81.33,93.08,93,92.5,87.9,highschool
a,16,m,british,ethiopia,no,11,scholarship,both,a lot,strongly agree,agree,agree,public,sarbet,15-30,first child,3,greek school,for-lang,yes,10,authoritative,0,none,4,77.87,38.18,,,88.6,59.84,,,,,97,,,,78.9,97.52,,81,85.19,87.71,76.09,78.3,highschool
a,17,m,american,ethiopia,yes,11,paid,both,a lot,strongly agree,somehow agree,somehow agree,private,gerji,30-60,last child,3,allen,for-lang,yes,8,authoritative,0,none,3.5,94.19,5,,,95.8,63.89,,,,,97.86,,,,80.2,98.64,,74.56,90.81,90.71,90.64,82.8,highschool
a,16,f,ethiopian,ethiopia,no,11,paid,both,a lot,agree,agree,somehow agree,private,sarbet,15-,last child,2,school of tomorrow,eth-lang,no,7,authoritative,1,none,3.5,95.69,83.43,,,87.6,79.25,,,,,88.86,,,,85.9,92.33,,74.72,86.18,81.71,89.57,83.5,highschool
a,16,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,somehow agree,private,german square,30-60,first child,3,intellectual,eth-lang,yes,8,authoritative,0,none,4,89.69,86.04,,,90.51,77.17,,,,,89.86,,,,86.4,86.52,,77.17,86.22,95.14,85.63,85.1,highschool
a,16,f,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,first child,2,intellectual,eth-lang,yes,7,authoritative,0,none,4.5,84.55,91.93,,,94.33,82.4,,,,,93.71,,90.03,81.32,89.7,94.56,88.47,,,96.14,,87.2,highschool
a,17,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,kazanchis,30-60,middle child,0,kebena adventist,eth-lang,no,6,authoritative,0,none,4.5,97.92,98.5,,,100,97.73,,,,,100,,100,94.98,98.4,97.76,97.26,,,99.57,,97.9,highschool
a,17,f,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,agree,public,lafto,30-60,middle child,2,tehadso,eth-lang,yes,7,authoritative,0,none,4.25,96.42,97.68,,,99.6,95.22,,,,,95.71,,98.54,96.06,97.4,97.95,97.86,,,99,,97.2,highschool
a,16,m,ethiopian,ethiopia,no,11,scholarship,mother,little,agree,agree,agree,public,abado,60+,last child,3,meskaye,eth-lang,no,8,authoritative,0,none,3.5,92.75,94.68,,,98,86.94,,,,,97.43,,96.67,82.19,93.4,96.59,95.96,,,92.71,,91.2,highschool
a,16,f,ethiopian,ethiopia,no,11,paid,both,a lot,agree,strongly agree,somehow agree,service,tuludimtu,60+,middle child,2,gibson,eth-lang,no,5.5,authoritative,0,none,3.75,93.5,95.75,,,95.93,84.74,,,,,97.43,,96.67,87.78,93.7,96.38,92.29,,,96.14,,91.9,highschool
a,17,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,agree,agree,strongly agree,public,haile garment,30-60,last child,2,hidase,eth-lang,no,7,authoritative,0,none,4,89,95.68,,,97.73,96.58,,,,,94.86,,98.33,85.72,94.6,96.38,93.57,,,98.57,,93.6,highschool
b,18,m,ethiopian,ethiopia,yes,11,paid,both,a lot,somehow agree,disagree,disagree,private,sarbet,30-60,first child,3,gibson,eth-lang,no,6,authoritarian,1,emotional,2.5,83.1,86.93,,,91.62,72.62,,,,,92,,96.04,75.64,86.6,96.61,81.99,,,89.29,,83.1,highschool
a,16,f,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,torhailoch,15-,middle child,3,nobles,for-lang,yes,8,authoritative,0,none,4.5,88.28,43.93,,,90,77.64,,,,,96.29,,88.48,74.46,79.3,91.86,65.69,,,76.14,,78.4,highschool
a,16,f,ethiopian,ethiopia,no,11,paid,mother,a lot,strongly agree,strongly agree,strongly agree,service,lebu,15-30,last child,3,gibson,eth-lang,no,6.5,authoritative,0,none,4.5,92.75,92.36,,,96.4,87.73,,,,,98.29,,92.05,86.61,93.7,99.32,91.89,,,99.14,,91.7,highschool
a,17,f,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,somehow agree,public,mehandis,30-60,first child,3,abune gorgorios,eth-lang,no,9,authoritative,0,none,4,94.19,96.93,,,97.2,97.29,,,,,98.14,,97.71,94.06,96.3,97.53,91.79,,,98.14,,95.5,highschool
b,17,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,first child,3,andinet,eth-lang,yes,8,authoritative,0,none,4.5,95.76,84.79,,,91.93,83.18,,,,,96.14,,92.92,79.23,90.3,97.27,86.04,,,96.14,,88.9,highschool
a,17,f,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,jemo,30-60,last child,3,jemo 2,eth-lang,no,8,authoritative,0,none,4.5,96.5,98,,,93.2,79.12,,,,,93.57,,98.33,80.59,92.1,96.84,90.74,,,94.43,,90,highschool
a,18,f,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,agree,agree,private,anfo,15-30,last child,3,gibson,eth-lang,no,7,authoritative,0,none,4,95.1,95.16,,,94.27,93.07,,,,,96.13,,99.71,93.91,95.3,96.38,95.16,,,94.37,,95.2,highschool
a,18,m,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,first child,3,southwest,eth-lang,no,6,authoritative,0,none,4.5,84.87,79.25,,,88.13,71.31,,,,,93.13,,83.47,68.89,82.7,90.89,79.25,,,87.75,,79.3,highschool
b,17,m,ethiopian,ethiopia,yes,12,paid,both,a lot,strongly agree,strongly agree,strongly agree,service,lebu,60+,last child,3,intellectual,eth-lang,yes,8,authoritative,0,none,4.5,76.22,77.46,,,93.35,71.01,,,,,96.13,,83.49,66.8,81.3,93.59,77.46,,,77.52,,75.4,highschool
a,18,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,agree,service,lafto,60+,first child,0,southwest,eth-lang,no,6,authoritative,1,none,3.75,93.3,90.63,,,94.5,83.35,,,,,88.13,,96.39,76.63,90.3,96.07,90.63,,,93.77,,89,highschool
b,17,m,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,agree,private,sefereselam,15-30,last child,3,gibson,eth-lang,yes,8,authoritative,0,none,4.25,83,70.3,,,82.13,62.02,,,,,81.88,,71.43,52.52,75,89.44,70.3,,,87.32,,71.1,highschool
a,17,f,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,agree,private,ayertena,15-30,first child,0,gibson,eth-lang,no,7,authoritative,0,none,4.25,90.2,83.42,,,91.69,67.47,,,,,86.63,,90.37,78.57,85.3,95.37,83.42,,,86.35,,82.7,highschool
a,17,m,ethiopian,ethiopia,no,12,scholarship,both,little,agree,strongly agree,somehow agree,service,kality,30-60,first child,0,alem birhan,eth-lang,yes,5,authoritative,1,none,3.5,89.5,82.52,,,97.23,93.09,,,,,96.13,,90.35,83.79,89.6,93.95,82.52,,,87.37,,87.8,highschool
a,17,f,ethiopian,ethiopia,no,12,paid,both,little,agree,somehow agree,somehow agree,private,lebu,15-,first child,0,intellectual,eth-lang,no,8,authoritative,0,none,3,90.85,78.11,,,85.37,79.86,,,,,88.13,,88.06,76,84.5,99.25,78.11,,,80.95,,82.3,highschool
a,17,m,ethiopian,ethiopia,no,12,scholarship,both,a lot,strongly agree,agree,agree,public,kality,60+,first child,0,mhm,eth-lang,no,3,authoritative,1,none,4,71.12,70.53,,,89.85,79.95,,,,,96.63,,90.48,80.97,81.7,78.68,70.53,,,88.37,,80.2,highschool
a,17,f,ethiopian,ethiopia,no,12,scholarship,other,a lot,strongly agree,strongly agree,strongly agree,service,bole michael,30-60,first child,1,tadagiwa,eth-lang,no,5,authoritative,1,none,4.5,71.07,74,,,82.13,67.15,,,,,89.63,,84.33,71.58,74.1,50.8,74,,,75.93,,74,highschool
a,17,m,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,strongly agree,agree,private,sarbet,30-60,first child,2,intellectual,eth-lang,no,7,authoritative,0,none,4.25,83.22,74.92,,,93.21,66.49,,,,,92.13,,85.43,61.8,81.6,94.71,74.92,,,89.38,,76.9,highschool
a,19,m,ethiopian,ethiopia,yes,12,scholarship,father,little,agree,strongly agree,strongly agree,public,tuludimtu,60+,first child,2,tuludimtu,eth-lang,no,5,authoritative,0,none,4,89.3,81.16,,,92.15,79.74,,,,,94.63,,88.16,77.72,87,92.91,81.16,,,92.77,,84.8,highschool
