conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
b,13,f,ethiopian,ethiopia,no,7,scholarship,both,a lot,strongly agree,strongly agree,agree,private,kazanchis,15-,last child,2,neps,eth-lang,yes,8.5,authoritative,1,none,4.25,87.76,94.61,83.88,84.38,89.74,72.2,69.76,100,66.01,79.9,89.62,95.25,88.61,85.58,84.8,,,,,,,,middleschool
a,12,f,ethiopian,ethiopia,no,7,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,private,bole michael,30-60,first child,3,prestigious youth,eth-lang,yes,7.5,authoritative,1,none,4.5,96.69,98.96,95.56,87.43,96.55,89.89,88.36,94.75,83.92,88.55,93.9141592920354,98.5,90.29,82.13,91.7,,,,,,,,middleschool
a,14,m,ethiopian,ethiopia,yes,7,scholarship,other,a lot,agree,strongly agree,strongly agree,public,jemo,30-60,first child,2,abay,eth-lang,no,9,authoritative,0,none,4.25,65.73,99.63,99.43,100,89.79,90.47,80.14,87.25,87.17,92.36,101.91,92.5,84.88,92.63,90.3,,,,,,,,middleschool
a,12,f,ethiopian,ethiopia,no,7,paid,both,little,somehow agree,strongly agree,strongly agree,public,gotera,15-,last child,0,rice,eth-lang,yes,8,authoritative,0,none,3.75,81.49,95.59,90.37,84.22,84.36,63.22,73.04,98,55.74,93.62,89.33,62,75.29,75.64,80.1,,,,,,,,middleschool
a,12,f,american,foriegn_soil,no,7,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,jemo,15-30,first child,1,rice,eth-lang,yes,8,authoritative,0,none,4.5,71.32,92.56,84.6,81.96,82.24,71.34,79.56,92,69.39,92.9,95.29,90,84,89.05,84,,,,,,,,middleschool
a,13,f,ethiopian,ethiopia,yes,7,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,jemo,30-60,first child,2,jemo 2,eth-lang,no,10,authoritative,0,none,4.5,78.4,99.63,100,100,96.06,94.08,79.45,99,87.14,88.43,103.29,100,86.15,97.35,93.5,,,,,,,,middleschool
a,12,m,ethiopian,ethiopia,no,7,paid,both,a lot,strongly agree,agree,strongly agree,private,lebu,15-30,last child,2,intellectual,eth-lang,no,9,authoritative,0,none,4.25,82.6,89.38,95.31,88.53,91.45,87.35,90.29,96.25,94.87,93.67,100.29,97,92.94,92.41,92.3,,,,,,,,middleschool
b,12,m,ethiopian,foriegn_soil,no,7,paid,both,a lot,agree,agree,agree,service,gerji,30-60,middle child,2,rice,for-lang,yes,7,authoritarian,1,emotional,3.75,87.3,94.42,83.1,77.56,85.38,77.78,76.86,93.75,78.74,85.02,87,85,85.78,87.88,84.7,,,,,,,,middleschool
a,12,f,ethiopian,ethiopia,yes,7,paid,both,a lot,strongly agree,strongly agree,agree,private,german square,30-60,middle child,0,intellectual,eth-lang,yes,8.5,authoritative,0,none,4.25,91.43,97.3,93.89,88.59,87.28,85.48,86.25,93.75,90.67,92.86,89.57,92,87.45,92.86,90.7,,,,,,,,middleschool
a,13,m,ethiopian,ethiopia,no,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,bethel,15-,first child,3,beteseb academy,eth-lang,yes,9,authoritarian,0,none,4.5,91.96,98.6,96,94.66,92.43,93.72,86.02,98.75,93.37,95.93,96.29,99,93.9,93.75,94.6,,,,,,,,middleschool
